id,caption
17,"✨Así cobran vida vuestras ideas✨

Este es el proceso que sigo para hacer los marcapáginas que me pedís personalizados. El vídeo es un ejemplo de un chico que me pidió un diseño del Archivo de las Tormentas de Brandon Sanderson. A mi personalmente me encantó el resultado, y a él también. ¿Qué os parece a vosotros?
Si tenéis alguna idea en mente no dudéis en contactarme. Haremos un diseño tan único y especial como lo es tu libro favorito.😊❣️

#libros #artesanía #personalizado #elarchivodelastormentas #brandonsanderson #madera #lectura #cozy #marcapaginas"
18,"""Hay libros que no solo lees, sino que se quedan contigo para siempre. 📚✨""
Hoy quiero compartir algunos de los libros que dejaron una huella especial en mi vida. Esos que me hicieron amar la lectura aún más, que me regalaron mundos mágicos, personajes inolvidables y momentos que siempre voy a recordar.

📖 ¿Tienes algún libro que te haya hecho sentir así? Me encantaría descubrir cuáles son los tuyos. ¡Déjalo en los comentarios! 🫶

💡 Si amas los libros tanto como yo y buscas un rincón cozy donde siempre haya algo literario para compartir, sígueme. 💌

#LectoresCozy #AmorPorLosLibros #FantasíaYRomance #LecturaInspiradora #libros #librosquemarcan"
19,"Os dejo el proceso de creación de los marcapáginas que os voy enseñando. En esta ocasión, os muestro un nuevo diseño.
Powerless ha sido una de mis lecturas favoritas este año. 
Con este diseño he querido basarme en la portada y la esencia de la historia. La daga de Paedyn encarando a la corona, las flores y enredaderas de la portada del libro y la tipografía del título han sido algunos de los elementos que he querido añadir a este marcapáginas.
Estoy deseando leer el final de la trilogía con este nuevo accesorio. ¿Y a vosotras, que os parece?
#libros #lectura #artesanía #cozy #regalos #marcapaginas"
20,"🌿✨ La magia de transformar lo simple en algo especial ✨🌿

A veces, la naturaleza nos regala pequeños tesoros: una rama caída, un tronco olvidado… Solo hay que mirar con otros ojos para ver todo lo que pueden llegar a ser. 🔥🕯️

En Cozy Tales, cada pieza cuenta su propia historia, como en los libros que nos transportan a otros mundos. Con imaginación y cariño, todo cobra vida.

En esta publicación os dejo un adelanto de algunos nuevos productos que introduciré en las siguientes semanas, como las velitas de soja naturales en recipientes de madera 100% natural o los nuevos llaveros y marcapáginas de Los chicos de Tommen 🥰 ¿Qué os parecen?

Y a ti, ¿Qué te inspira a crear? 👀💭 Déjamelo en comentarios.

#libros #artesanía
#natural #LecturaCozy #naturaleza #madera #original #imaginacion #hechoamano"
21,"¿Qué os parece esta fundita literaria navideña?✨

La navidad es mi época favorita del año, y no he podido resistirme a hacer esta funda para mis lecturas. 
¡Espero que todas paséis unas navidades geniales y llenas de libros 5 estrellas!

#libros
#navidad
#lectura 
#regalos"
22,"Fundita literaria perfecta para proteger tus libros este invierno!!❄️❄️❄️

Si quieres proteger tus libros favoritos con una funda de tela de pelito súper suave y calentita, no dudes en enviarme un mensaje.  Su color blanco roto combina con todo y le da ese toque mágico que te hará sentir en un paisaje nevado mientras disfrutas de tu lectura.

Es ideal para mimar tus libros y para llevártelos contigo a todas partes sin preocuparte. ¿Ya te imaginas leyendo con tu funda al lado de una taza caliente? ☕✨

No te quedes sin la tuya ❤️"
23,#libros #cozy#lectura #frasesbonitas
24,"No hay nada más acogedor que disfrutar de un buen libro al calor de una chimenea, ¿verdad?

Hoy damos inicio a esta pequeña aventura y queremos presentarnos oficialmente: bienvenidas a Cozy Tales, un espacio creado con mucho cariño para acompañarte en esos pequeños momentos que hacen la vida más especial.

Aquí encontrarás todo lo que necesitas para desconectar: libros, bebidas calentitas y accesorios literarios diseñados para que cada instante de lectura sea mágico.

Nos encantaría ser parte de tus historias y crear juntas un rincón donde la comodidad y la pasión por leer siempre estén presentes.

¡Esperamos que esta cuenta se convierta en tu refugio favorito!"
25,"✨ Para los fans de ACOTAR y los mundos llenos de magia y romance ✨

Si te emociona perderte entre las páginas del mundo de Feyre y Rhysand o sueñas con visitar la Corte Noche, estos productos están pensados para ti. 🖤

Te presentamos un marcapáginas grabado a mano con un diseño inspirado en ACOTAR y un llaverito que te acompañará allá donde vayas, para que siempre lleves un pedacito de Velaris. 🌙

Cada detalle está hecho con mucho cariño para que puedas llevar un pedacito de esta historia contigo, ya sea entre tus libros o en tus llaves. ¡Son perfectos para regalar (o para darte un capricho)! 🎁

📩 Si tienes cualquier duda o necesitas ayuda para hacer tu pedido, escríbeme por mensaje directo.
📖 Toda la información sobre los productos y la guía de compra está en el enlace de la biografía. Allí también encontrarás el catálogo completo para explorar todas las opciones.

🌟 Haz que tu rincón lector y tus accesorios sean tan mágicos como la historia que tanto amas. ¿Qué diseño es tu favorito?

#acotar #marcapaginas
#llaveros #artesanía
#hechoamano
#lectura #libros
#rhysand
#velaris"
26,"Un buen libro, velitas y el rincón de lectura perfecto.✨📖

#acogedor
#libros
#cozy 
#descanso"
