id,tipo_de_publicacion,tipo_de_producto,caption
10,novedades,multitipo,"🌸✨ ¡Hoy es un día especial en Cozy Tales! ✨🌸

Con la llegada de la primavera, también llegan novedades frescas y acogedoras a la tienda. Y esta vez, ¡doble sorpresa! 🌿💛

🌼 Nueva colección de velas primaverales:
Hemos creado tres nuevas fragancias que capturan la esencia de esta estación mágica:
🍦 Vainilla – Dulce y envolvente, como un abrazo cálido.
🌸 Azahar – Floral y delicado, con el encanto de los naranjos en flor.
🍊 Naranja – Refrescante y vibrante, llena de energía y frescura.
🪻Lavanda -- No es novedad, pero no podía faltar en esta colección.

Las velitas son limitadas!! Corred a por la vuestra antes de que se agoten🤭✨

☁️ ¡Además, estrenamos un nuevo producto! ☁️
Ahora puedes disfrutar de tus aromas favoritos en wax melts de cera de soja 100% natural. Estas pequeñas nubecitas aromáticas llenarán tu espacio con un perfume increíblemente intenso, perfecto para crear momentos de relax y lectura.

💫 Fragancias disponibles en wax melts:
✨ Canela, Lavanda, Dragon Blood, Canela-Naranja y Café.
🌸 Y, por supuesto, las nuevas de primavera: Vainilla, Azahar y Naranja.

También quiero anunciar que he abierto una cuenta en Vinted, por si preferís hacer vuestra compra por allí 😊. Os dejo el enlace a continuación, aunque también está en la descripción y en historias.

https://www.vinted.es/member/261459280

¿Qué os parecen estas nuevas incorporaciones? ¡Estoy deseando que las probéis! ¿Cuál os llama más la atención?💕🌿

#velasaromaticas #velas #melts #waxmelts #aromas #aromaterapia #natural #relax #relajacion #decoracion"
11,promocion,fundas,"Hoy os traigo una publicación un poco más diferente. 🤭✨ Mirando las telas y las funditas de la colección pensé si los personajes de mis libros favoritos usasen funditas literarias¿Cuáles usarían? Así que hice esta publicación con las vibes que me daban las fundas.😊 Si te gustan las funditas y te interesa para proteger vuestros libros esta primavera, puedes contactarme por mensaje directo 🥰❤️ ¿Qué os parecen estás asociaciones? ¿Pensáis en otros personajes al ver las funditas? Os leo!!👀❣️ #fundasliterarias #libros #aesthetic #hechoamano #handmade #lectura #powerless #acotar #caraval #onceuponabrokenheart #novia #binding13 #keeping13"
12,novedades,velas,"✨🔥 NUEVAS VELITAS NATURALES 🔥✨
Estoy súper emocionada por enseñaros los nuevos aromas y diseños de velitas naturales. Espero que os encanten, al igual que a mí me ha encantado crearlas. 

🐉✨ Dragon Blood – La joya de esta colección. Misteriosa, poderosa y mágica. Su esencia Dragon Blood ha sido usada durante siglos en el ámbito de la espiritualidad para atraer protección, energía positiva y claridad mental. Además, la hemos decorado con cuarzo rosa, una piedra vinculada al amor propio y la armonía. Si eres de las que devoran la fantasía con romance o las historias llenas de magia, esta vela es para ti. 🏰🔮

☕ Café – Para las que no pueden vivir sin el aroma a café recién hecho. Suave, envolvente y con ese toque achocolatado que tanto nos gusta. Cierra los ojos y siente como si estuvieras bebiendo tu café favorito, libro en mano y el sonido de la lluvia golpeando la ventana. Perfecta si estás leyendo un libro adictivo del que no te puedes despegar. 🌧️📚

🕯️ Canela-Vainilla – Si te quedaste con ganas de la velita de canela que tan pronto se agotó la última vez, prepárate para enamorarte de esta nueva versión con vainilla. Dulce, especiada y reconfortante, es el aroma perfecto para acompañarte en esas tardes de relajación con tu libro favorito. Ideal si tu lectura actual es un romance o una historia cozy que te haga sentir en casa. 🍂📖

Todas nuestras velitas están hechas con cera de soja 100% natural, aromas naturales y recipientes únicos de madera de olivo vaciada y tratada a mano 🌿. Son piezas exclusivas, hechas con amor y respeto por la naturaleza.
💌 Corre a por la tuya antes de que vuelen, las unidades son limitadas. 
¿Cuál de estas tres sería tu compañera perfecta de lectura? ¡Te leo en comentarios! 👇💬"
13,promocion,velas,"Hoy os traigo un vídeo de toda la colección de velitas que tengo en venta hasta ahora en la tienda.😊 Cada velita está hecha a mano con mucho cariño pensando en cada una de vosotras🥰. Me gustaría compartir un poco de cómo surgió la idea de hacer estas velas. A la hora de crear un producto, siempre pienso en cómo este puede acompañaros en los momentos que más apreciamos en el día: los ratitos en el que nos permitimos hacer las cosas que más nos gustan. A veces los días van demasiado deprisa y las presiones a las que nos sometemos no nos dejan disfrutar de lo realmente importante. Por eso, creo que es importante tener a tu lado pequeños incentivos que te recuerden que te mereces descansar, disfrutar y cuidarte. Con todo esto en mente surgió la idea de crear estas velas totalmente naturales, recogidas de la propia naturaleza y con aromas que nos ayuden a sentirnos bien. La idea era crear un producto que añadiese valor a nuestro día cuidándonos a nosotras con sus materiales respetuosos y de buena calidad. Quiero agradecer en este posto todo el cariño que le estáis dando a las velitas. Gracias por cada "me gusta", comentario o palabra bonita 💕🥹 #libros #velas #lectura #cozy #artesanía #hechoamano #regalos #bookstagram #booktok #books #natural #naturaleza"
14,promocion,velas,"Hoy vengo a hablaros de una velita muy especial: Dragon Blood. Sé que muchas teníais dudas sobre su aroma, así que aquí os cuento todo.

Su fragancia es dulce y cálida, pero nada empalagosa. No hay un olor exacto con el que compararla, pero si tuviera que describirla en pocas palabras, diría que huele a un perfume envolvente y reconfortante. Aunque, sinceramente, la mejor forma de descubrirlo es que la pruebes tú misma…

Además, esta velita es perfecta para quienes sienten conexión con su espiritualidad, creen en la energía que nos rodea y mueve el mundo y entienden el poder de las pequeñas cositas que son las que más felices nos hacen. Si buscas un ambiente de concentración, calma y armonía, Dragon Blood es para ti.

Cuéntame, ¿ya conocías este aroma? ¿Te animas a probarlo? 💫🕯️💕

#velas
#libros #espiritualidad #cozy #fantasía
#lectura #aesthetic #historia"
15,promocion,marcapaginas,"✨Marcapáginas de ACOTAR ✨

Este marcapáginas pirograbado a mano es sin duda mi favorito de la colección🤭 Ademas queda perfecto como decoración en la estantería ✨

¿Quién más ama el mundo de ACOTAR y a sus personajes? Os leo👀

#acotar #marcapaginas #libros #feyre #rhysand #unacortederosasyespinas #LecturaCozy #lecturas #bookstagram #booktok #books"
16,promocion,marcapaginas,"✨ ¿Te gustan estos marcapáginas de madera? Cada uno está pirograbado a mano con muchísimo cariño y detalle, pensado para acompañarte en tus lecturas más especiales. 📖💛

Son piezas únicas, perfectas para marcar las historias que te han dejado huella y, cuando no las estés usando, ¡quedan preciosas decorando tu estantería! 🌿✨

Y si quieres algo aún más personal… puedo crear un marcapáginas inspirado en tu libro favorito. 📚💫 Si tienes alguna idea o te gustan los que ves en la foto escríbeme y hablamos😊.

En la foto hay un diseño nuevo que aún no os había enseñado… 👀 ¿Sabes cuál es? ¡Te leo en comentarios! 💬💕"
17,promocion,marcapaginas,"¿Sabías que los marcapáginas de madera también pueden ser una decoración súper original para vuestras estanterías?✨

Llevo un tiempo pensando en idear una manera en la que los marcapáginas estén presentes en nuestra vida aunque no lo estemos usando en un libro. Tras darle algunas vueltas nació este pequeño soporte de madera natural.
Usando estos pequeños dispositivos los marcapáginas pueden mantenerse en una posición vertical perfectamente y de una manera muy estable. De esta manera, podemos ponerlos de exposición en nuestras estanterías y añadirlos a la colección de tesoros preciados que todas tenemos de nuestros libros.🥰❤️
El soporte viene incluido con vuestro marcapáginas. Os recuerdo que no sólo tenéis disponibles los que ya he publicado en la cuenta sino que podéis personalizaros el vuestro como queráis (temáticas, libros concretos, frases, películas, diseños que os hayan gustado...). Os animo a que me escribáis sin compromiso si tenéis alguna idea en mente.😊
¿Qué os parece la idea? Os leo en comentarios.👀

#libros #bookstagram #hechoamano #marcapaginas #maderanatural #artesanía"
18,promocion,fundas,"✨📚 FUNDITAS LITERARIAS: ¡Protege tus libros favoritos! 📚✨

Si eres de las que no pueden ir a ningún lado sin su libro, necesitas una funda literaria que lo cuide y lo mantenga impecable en cada aventura. Nada de esquinas dobladas ni portadas arrugadas, ¡tu lectura merece estar bien protegida! 💕📖

Hoy te traigo estos modelos de fundas acolchadas, hechas a mano con mucho amor y perfectas para acompañarte donde quieras:

🌸 Funda de flores rosa – ¡Última unidad! Si te gusta, no la dejes escapar.

💙 Funda de flores azules – Un diseño elegante y romántico.

🤍 Funda de pelito beige sin botón – Extra suave y acogedora. Disponible solo en tamaño Kindle (y solo queda una).

✨ Funda beige de puntitos – Súper gordita y calentita, perfecta para mimar tu libro. (Quedan 2 unidades).

⚡ Funda casas Harry Potter – Para los más fans del mundo mágico. Disponible en 2 ejemplares.

📢 ¡Stock muy limitado! Si te enamoras de alguna, no dudes en hacerte con ella antes de que vuele.

📌 En historias destacadas te las dejo una a una para que las veas con más detalle.

📩 Para hacer tu pedido, escríbeme por mensaje directo. ¡Me encantará ayudarte a elegir la ideal para ti!
💬 Cuéntame, ¿cuál es tu favorita? ¿Te gustaría ver otros diseños en el futuro? ¡Te leo en comentarios! 👇✨

#fundasliterarias #libros #bookstagram #LecturaCozy #hechoamano #lectura"
19,promocion,velas,"✨ Así empaco tus velitas literarias ✨

Cada pedido que sale de aquí está lleno de amor, detalles y, por supuesto, el aroma perfecto para acompañar tus lecturas. 📖🕯️💌

Desde el momento en que eliges tu vela hasta que llega a tu puerta, todo está pensado para que vivas una experiencia mágica. ✨📦

📍 Empaque cuidadoso
📍 Detalles especiales
📍 Un pedacito de tu historia en cada envío

Te recuerdo que puedes elegir entre aroma de lavanda y canela, aunque de esta última solo queda una🤭. Además si haces la compra en febrero te llevas un marcapáginas de telita de esquina de REGALO... Hazte con ella!!💫💛

#velas #libros #hechoamano #sanvalentin #regalos #lectura #bookstagram #cozy"
20,proceso de creacion,velas,"✨ De la naturaleza a tu hogar ✨

Hoy quiero compartir con vosotros el proceso completo de creación de mis velitas naturales, desde que recojo cuidadosamente la madera hasta que cada pieza queda terminada y decorada. 🌿✨

No ha sido un camino fácil; detrás de cada velita hay horas de trabajo, pruebas y aprendizaje. Pero cada intento ha valido la pena, porque amo este proceso y disfruto cada paso. 💛

Este vídeo es un pequeño reflejo de todo el esfuerzo y dedicación que hay detrás de un producto artesanal. Cada velita es única, hecha a mano con mucho cariño para que llegue a vuestro hogar con la mejor energía. 💫✨

¿Qué os parece este proceso? ¡Os leo en comentarios! 🕯💭💛

#velas #libros #hechoamano #artesanía #lectura #regalos #bookstagram #cozy #primavera #proceso #handmade"
21,promocion,velas,"Hoy quiero compartir con vosotras un post muy especial sobre uno de mis aromas favoritos: la lavanda. 💜🌿 Si lees el post, descubrirás por qué su fragancia es tan relajante y especial.

A veces, necesitamos detenernos un momento, respirar hondo y disfrutar de esos pequeños placeres que nos hacen sentir bien. Si eres como yo y amas las velitas y los ratitos de lectura, seguro que te encantará tener una vela de lavanda para acompañar esos momentos de calma y autocuidado. ✨📖

Si te animas a conseguir la tuya, escríbeme por mensaje directo. ¡Espero que te guste el post! Cuéntame en comentarios si te gustaría que hiciera lo mismo con los demás aromas de la tienda. 💬💕"
22,novedades,marcapaginas,"✨ ¡Nuevo marcapáginas en la tienda! ✨

Si has leído Binding 13, seguro que entiendes por qué necesitaba hacerle un marcapáginas. 💙📖 Esta historia ha sido de mis lecturas favoritas de este año, así que tenía que plasmarla en madera con mucho cariño.

Perfecto para acompañar tu lectura o decorar tu estantería con un pedacito de este libro tan especial. Además, trae grabada una playlist con las canciones más icónicas que aparecen en la historia y que nos recuerdan a los personajes🤭

También salen hoy a la venta los llaveritos de Johnny, Joey y Gibsie, con sus números en el anverso y los símbolos de sus deportes en el reverso (Rugby para Johnny y Gibsie y Hurling para Joey)

¿Quién más no puede parar de pensar en la historia de los chicos de Tommen? Os leo en comentarios. 👀💕

#binding13 #libros #marcapaginas #handmade #lecturas"
23,promocion,marcapaginas,"¿A quién más le encantan los libros de los chicos de Tommen?🤭💕
Este marcapáginas no sólo es perfecto para usarlo en estos libros tan especiales, sino que además traen el código de una playlist con las canciones más importantes de la saga.
Quién es vuestro personaje favorito hasta ahora? Os leo en comentarios 🥰

#libros
#binding13 #chloewalsh #artesanía #hechoamano #cozy #regalos"
24,promocion,fundas,"Fundita literaria perfecta para proteger tus libros este invierno!!❄️❄️❄️

Si quieres proteger tus libros favoritos con una funda de tela de pelito súper suave y calentita, no dudes en enviarme un mensaje.  Su color blanco roto combina con todo y le da ese toque mágico que te hará sentir en un paisaje nevado mientras disfrutas de tu lectura.

Es ideal para mimar tus libros y para llevártelos contigo a todas partes sin preocuparte. ¿Ya te imaginas leyendo con tu funda al lado de una taza caliente? ☕✨

No te quedes sin la tuya ❤️"
25,promocion,marcapaginas,"Este es uno de mis últimos diseños: un marcapáginas de madera grabado inspirado en Powerless, hecho con mucho cariño para los amantes de esta maravillosa historia. Cada detalle está pensado para que te acompañe en tus lecturas y haga aún más especial cada momento que pases entre páginas. 🌙📖

Perfecto para quienes quieren un toque único en sus lecturas o un regalo especial para fans de Powerless.

¿Qué te parece? Si quieres llevarte uno igual o tienes alguna idea para personalizarlo con tus libros favoritos, ¡mándame un mensaje! Estoy aquí para ayudarte a crear algo único y lleno de magia. ❤️

#libros #powerless #lectura #regalos #hechoamano #artesanía"
26,proceso de creacion,marcapaginas,"✨Así cobran vida vuestras ideas✨

Este es el proceso que sigo para hacer los marcapáginas que me pedís personalizados. El vídeo es un ejemplo de un chico que me pidió un diseño del Archivo de las Tormentas de Brandon Sanderson. A mi personalmente me encantó el resultado, y a él también. ¿Qué os parece a vosotros?
Si tenéis alguna idea en mente no dudéis en contactarme. Haremos un diseño tan único y especial como lo es tu libro favorito.😊❣️

#libros #artesanía #personalizado #elarchivodelastormentas #brandonsanderson #madera #lectura #cozy #marcapaginas"
27,promocion,marcapaginas,"✨ EDICIÓN LIMITADA ALAS DE ÓNYX✨ ¿Quién más está deseando que llegue el día 22 de enero para poder leer Alas de Onyx? Para celebrar este lanzamiento he creado este marcapáginas inspirado en su portada, perfecto para hacer una lectura super especial de este libro que llevamos tanto tiempo esperando. Personalmente necesitaba este marcapáginas para sumergirme totalmente en el mundo de Violet y Xaden la semana que viene. He decidido compartirlo con vosotras para que podáis tener la misma experiencia y podáis añadir a vuestra estantería una pieza super especial y única de colección. Esta edición de marcapáginas es limitada, solo haré 5 ejemplares, así que si os interesa no dudéis en reservarlo por mensaje directo antes de que se agoten!! ❣️✨"
28,libros,libros,"Hay libros que no solo lees, sino que se quedan contigo para siempre. 📚✨"Hoy quiero compartir algunos de los libros que dejaron una huella especial en mi vida. Esos que me hicieron amar la lectura aún más, que me regalaron mundos mágicos, personajes inolvidables y momentos que siempre voy a recordar.

📖 ¿Tienes algún libro que te haya hecho sentir así? Me encantaría descubrir cuáles son los tuyos. ¡Déjalo en los comentarios! 🫶

💡 Si amas los libros tanto como yo y buscas un rincón cozy donde siempre haya algo literario para compartir, sígueme. 💌

#LectoresCozy #AmorPorLosLibros #FantasíaYRomance #LecturaInspiradora #libros #librosquemarcan"
29,libros,libros,"✨❣️Mi wrapped lector 2024❣️✨

Quiero aprovechar este post para dar las gracias a todas las personas que están apoyando mi cuenta que lleva tan poquito en esta red. Gracias por cada buen comentario, me gusta y visualización. Estoy muy feliz por estar aquí en este maravilloso ambiente de lectura, historias y páginas.

He decidido hacer este resumen de lectura para unirme a todas vosotras que también habéis compartido vuestro año lector. Me encanta este contenido porque creo que se sacan buenísimas recomendaciones y me lo paso genial viendo vuestros resumenes. Espero que vosotras también lo disfrutéis de la misma manera.

Me encantaría saber cómo ha ido vuestro año lector. ¿Habéis tenido buenas lecturas? Os leo!!❤️"
30,novedades,marcapaginas,"✨STICKERS LECTORES✨ ¿Os gustan estos diseños para decorar vuestro kindle, portátil...? Pronto subiré más stickers muy especiales que estoy preparando y espero que os encanten 🥰"
31,promocion,multitipo,"❤️FELIZ MES DEL AMOR Y LA AMISTAD❤️ Quiero anunciaros que con motivo de San Valentín, todos los pedidos que hagáis este mes en la tienda llevarán uno de estos preciosos marcapáginas de tela de REGALO🥰 Os recuerdo que podéis elegir entre todas éstas cositas en Cozy Tales: 📖 MARCAPÁGINAS de madera grabados a mano. Con motivos literarios o personalizados. 🪵VELITAS naturales aromáticas 🗝️LLAVEROS de madera natural grabados a mano. Diseños disponibles en la tienda o personalizados. 🌸FUNDAS LITERARIAS acolchadas y perfectas para llevar tus libros a cualquier parte. 🦄STICKERS literarios o de ACOTAR. Súper útiles para decorar tu kindle, cuadernos, portátil... ¿Necesitas más información? No dudes en preguntarme por mensaje directo. Estaré encantada de hablar contigo. Aprovecha esta oportunidad perfecta para tener artículos literarios súper originales🥰 ❤️❣️Feliz San Valentín a todas!!❤️❣️ #sanvalentin #AmorPorLosLibros #regalos #libros #bookstagram #artesanía #lectura #hechoamano #madera #marcapaginas"
32,novedades,multitipo,"🌿✨ La magia de transformar lo simple en algo especial ✨🌿

A veces, la naturaleza nos regala pequeños tesoros: una rama caída, un tronco olvidado… Solo hay que mirar con otros ojos para ver todo lo que pueden llegar a ser. 🔥🕯️

En Cozy Tales, cada pieza cuenta su propia historia, como en los libros que nos transportan a otros mundos. Con imaginación y cariño, todo cobra vida.

En esta publicación os dejo un adelanto de algunos nuevos productos que introduciré en las siguientes semanas, como las velitas de soja naturales en recipientes de madera 100% natural o los nuevos llaveros y marcapáginas de Los chicos de Tommen 🥰 ¿Qué os parecen?

Y a ti, ¿Qué te inspira a crear? 👀💭 Déjamelo en comentarios.

#libros #artesanía
#natural #LecturaCozy #naturaleza #madera #original #imaginacion #hechoamano"
34,proceso de creacion,marcapaginas,"Os dejo el proceso de creación de los marcapáginas que os voy enseñando. En esta ocasión, os muestro un nuevo diseño. Powerless ha sido una de mis lecturas favoritas este año. Con este diseño he querido basarme en la portada y la esencia de la historia. La daga de Paedyn encarando a la corona, las flores y enredaderas de la portada del libro y la tipografía del título han sido algunos de los elementos que he querido añadir a este marcapáginas. Estoy deseando leer el final de la trilogía con este nuevo accesorio. ¿Y a vosotras, que os parece? #libros #lectura #artesanía #cozy #regalos #marcapaginas"
35,libros,multitipo,"Un buen libro, velitas y el rincón de lectura perfecto.✨📖

#acogedor
#libros
#cozy 
#descanso"
36,proceso de creacion,fundas,"¿Qué os parece esta fundita literaria navideña?✨

La navidad es mi época favorita del año, y no he podido resistirme a hacer esta funda para mis lecturas. 
¡Espero que todas paséis unas navidades geniales y llenas de libros 5 estrellas!

#libros
#navidad
#lectura 
#regalos"
37,promocion,marcapaginas,"✨ Para los fans de ACOTAR y los mundos llenos de magia y romance ✨

Si te emociona perderte entre las páginas del mundo de Feyre y Rhysand o sueñas con visitar la Corte Noche, estos productos están pensados para ti. 🖤

Te presentamos un marcapáginas grabado a mano con un diseño inspirado en ACOTAR y un llaverito que te acompañará allá donde vayas, para que siempre lleves un pedacito de Velaris. 🌙

Cada detalle está hecho con mucho cariño para que puedas llevar un pedacito de esta historia contigo, ya sea entre tus libros o en tus llaves. ¡Son perfectos para regalar (o para darte un capricho)! 🎁

📩 Si tienes cualquier duda o necesitas ayuda para hacer tu pedido, escríbeme por mensaje directo.
📖 Toda la información sobre los productos y la guía de compra está en el enlace de la biografía. Allí también encontrarás el catálogo completo para explorar todas las opciones.

🌟 Haz que tu rincón lector y tus accesorios sean tan mágicos como la historia que tanto amas. ¿Qué diseño es tu favorito?

#acotar #marcapaginas
#llaveros #artesanía
#hechoamano
#lectura #libros
#rhysand
#velaris"
38,promocion,multitipo,"No hay nada más acogedor que disfrutar de un buen libro al calor de una chimenea, ¿verdad?

Hoy damos inicio a esta pequeña aventura y queremos presentarnos oficialmente: bienvenidas a Cozy Tales, un espacio creado con mucho cariño para acompañarte en esos pequeños momentos que hacen la vida más especial.

Aquí encontrarás todo lo que necesitas para desconectar: libros, bebidas calentitas y accesorios literarios diseñados para que cada instante de lectura sea mágico.

Nos encantaría ser parte de tus historias y crear juntas un rincón donde la comodidad y la pasión por leer siempre estén presentes.

¡Esperamos que esta cuenta se convierta en tu refugio favorito!"
39,libros,libros,"#libros #cozy#lectura #frasesbonitas"
40,promocion,llaveros,"⭐ Dale un toque único a tus días con nuestros llaveros y colgantes literarios⭐
En Cozy Tales, creemos que los pequeños detalles marcan la diferencia, y nuestros llaveros y colgantes están diseñados para que lleves contigo algo que te inspire, te identifique y te haga sonreír. 
¿Quieres hacer que tus llaves, bolsos, mochilas, rincones de casa... sean aún más únicos y especiales?
Si te interesan estos especiales diseños, puedes encontrar como obtenerlos en la guía de compra de los links o mandarnos un mensaje directo. ¡Estaremos encantados de hablar contigo!
Para más accesorios lectores únicos, visita nuestro catálogo de productos en el link de la biografía.

#libros #lectora #lectura #acotar #alasdesangre #artesanía #handmade #original #llaveros #marcapaginas"
